iter	Logloss
0	0.6545850634
1	0.6209115137
2	0.5952815247
3	0.5779177172
4	0.5636645351
5	0.5509078155
6	0.5401900076
7	0.5300911519
8	0.5220771204
9	0.5128478063
10	0.5041115204
11	0.498051289
12	0.4919180823
13	0.4864834593
14	0.4819437565
15	0.4779628413
16	0.4728582295
17	0.4676093767
18	0.4628589659
19	0.4607179575
20	0.4572918334
21	0.4553473391
22	0.4526792652
23	0.4502684649
24	0.4485781956
25	0.4460664244
26	0.4438186091
27	0.4426434349
28	0.440923382
29	0.4396803088
30	0.4382922758
31	0.4370229858
32	0.4355528259
33	0.4346454769
34	0.4336689964
35	0.4319537286
36	0.4304991218
37	0.4294660318
38	0.428449827
39	0.4274582901
40	0.4264933247
41	0.425155197
42	0.4244548259
43	0.4237296415
44	0.4230910891
45	0.4217739381
46	0.4207641523
47	0.4195506367
48	0.4188593054
49	0.4181666669
50	0.4170214994
51	0.4160270776
52	0.4155670829
53	0.414593654
54	0.4139467289
55	0.4135133561
56	0.4131593484
57	0.4124334935
58	0.411417528
59	0.4111253025
60	0.4105505356
61	0.4101816243
62	0.4097845294
63	0.4090800354
64	0.4085893663
65	0.40790298
66	0.407464045
67	0.4069940031
68	0.4066283514
69	0.4062308955
70	0.405568671
71	0.4052260664
72	0.4048665424
73	0.404438271
74	0.4040234334
75	0.4034524576
76	0.4030105355
77	0.4026571441
78	0.4023306614
79	0.4018490928
80	0.4015793814
81	0.4012387614
82	0.4007337444
83	0.4004382187
84	0.4001630158
85	0.399850855
86	0.3995481294
87	0.3994111557
88	0.3990825577
89	0.3986563597
90	0.3984055005
91	0.3978111815
92	0.3973247096
93	0.3968849241
94	0.3965819424
95	0.396350573
96	0.3960315476
97	0.3957299812
98	0.3952720091
99	0.3950256525
100	0.394546874
101	0.3942503272
102	0.3937756435
103	0.3934550232
104	0.3932802942
105	0.3928706815
106	0.3924389967
107	0.3921826932
108	0.3919599494
109	0.3917280785
110	0.3913481153
111	0.39082711
112	0.3903405952
113	0.3900594456
114	0.3897884449
115	0.3894008167
116	0.3891057795
117	0.3888355269
118	0.3883245431
119	0.3878286087
120	0.3876266892
121	0.3872942025
122	0.3869861245
123	0.3866294845
124	0.3864918882
125	0.3861292645
126	0.3858074378
127	0.3855868279
128	0.3853125337
129	0.3850836733
130	0.3846281636
131	0.3844569693
132	0.3841587816
133	0.3837270484
134	0.3832033732
135	0.3827823883
136	0.3825086772
137	0.3821789859
138	0.3818965259
139	0.3814357694
140	0.3810759636
141	0.3809232252
142	0.3806206612
143	0.3802807619
144	0.3799973348
145	0.3795743089
146	0.3794183538
147	0.3791790448
148	0.3788991187
149	0.3786068812
150	0.3783745791
151	0.3781352493
152	0.377935735
153	0.3776890724
154	0.3774875737
155	0.3772321835
156	0.3770727374
157	0.3766868601
158	0.376330764
159	0.3760518045
160	0.375578381
161	0.3754343031
162	0.3750740672
163	0.3746880038
164	0.3744317346
165	0.374039058
166	0.3737286996
167	0.3733370523
168	0.3730741627
169	0.3727580124
170	0.372604768
171	0.3723299125
172	0.3721666363
173	0.371869627
174	0.3716012069
175	0.3713064387
176	0.371024841
177	0.37066729
178	0.3704602412
179	0.3702458237
180	0.3699635373
181	0.3697145622
182	0.3693760729
183	0.3689751978
184	0.3686119533
185	0.3683862764
186	0.3680866844
187	0.3677064919
188	0.3674459093
189	0.3671057147
190	0.3667534651
191	0.3663759025
192	0.3660149951
193	0.3657677099
194	0.3653787366
195	0.3651849269
196	0.3649191844
197	0.3646854371
198	0.3645731549
199	0.3641543018
