iter	Passed	Remaining
0	14	2967
1	28	2867
2	42	2812
3	56	2767
4	70	2742
5	84	2740
6	100	2777
7	116	2796
8	132	2817
9	149	2834
10	168	2890
11	186	2928
12	205	2952
13	221	2941
14	235	2905
15	251	2888
16	265	2861
17	278	2812
18	292	2786
19	307	2769
20	322	2746
21	336	2721
22	351	2708
23	367	2694
24	380	2663
25	400	2679
26	414	2653
27	427	2623
28	440	2598
29	454	2575
30	467	2550
31	480	2523
32	494	2504
33	510	2491
34	524	2474
35	540	2461
36	554	2444
37	570	2434
38	585	2416
39	600	2401
40	615	2385
41	627	2361
42	642	2344
43	655	2322
44	667	2298
45	680	2279
46	693	2258
47	708	2243
48	722	2227
49	738	2216
50	753	2200
51	768	2188
52	783	2172
53	795	2151
54	811	2138
55	824	2120
56	837	2102
57	853	2088
58	865	2068
59	878	2050
60	892	2034
61	907	2020
62	922	2005
63	935	1987
64	949	1972
65	965	1960
66	982	1949
67	997	1936
68	1014	1925
69	1029	1911
70	1043	1896
71	1057	1880
72	1070	1861
73	1083	1844
74	1096	1827
75	1111	1813
76	1125	1797
77	1138	1780
78	1152	1765
79	1166	1750
80	1186	1742
81	1205	1735
82	1222	1723
83	1239	1711
84	1252	1694
85	1265	1678
86	1280	1662
87	1293	1646
88	1308	1632
89	1323	1618
90	1337	1601
91	1349	1584
92	1364	1570
93	1382	1558
94	1397	1544
95	1413	1531
96	1427	1515
97	1441	1500
98	1455	1484
99	1468	1468
100	1482	1453
101	1495	1437
102	1508	1421
103	1524	1406
104	1539	1392
105	1553	1377
106	1567	1362
107	1583	1348
108	1597	1333
109	1611	1318
110	1628	1305
111	1642	1290
112	1655	1274
113	1668	1258
114	1681	1243
115	1696	1228
116	1709	1212
117	1727	1200
118	1741	1185
119	1757	1171
120	1772	1157
121	1787	1142
122	1801	1128
123	1816	1113
124	1829	1097
125	1843	1082
126	1857	1067
127	1871	1052
128	1884	1036
129	1897	1021
130	1910	1006
131	1923	990
132	1938	976
133	1953	962
134	1967	947
135	1982	933
136	1997	918
137	2018	907
138	2032	891
139	2046	877
140	2059	861
141	2072	846
142	2084	830
143	2097	815
144	2112	801
145	2126	786
146	2140	771
147	2154	756
148	2167	742
149	2182	727
150	2198	713
151	2214	699
152	2233	686
153	2248	671
154	2261	656
155	2274	641
156	2286	626
157	2300	611
158	2313	596
159	2327	581
160	2342	567
161	2357	553
162	2370	538
163	2388	524
164	2403	509
165	2420	495
166	2436	481
167	2451	466
168	2465	452
169	2479	437
170	2492	422
171	2505	407
172	2519	393
173	2536	378
174	2551	364
175	2565	349
176	2578	335
177	2591	320
178	2606	305
179	2621	291
180	2637	276
181	2651	262
182	2667	247
183	2680	233
184	2693	218
185	2705	203
186	2718	188
187	2732	174
188	2746	159
189	2760	145
190	2775	130
191	2788	116
192	2803	101
193	2827	87
194	2849	73
195	2862	58
196	2876	43
197	2889	29
198	2902	14
199	2918	0
